Char,Freq
а,8.34103135358365
б,1.86382655001902
в,5.82513720589034
г,1.72797913383687
д,3.39075150790632
е,5.10242895180134
ж,1.00527087974787
з,2.22246372873988
и,6.18377438461121
й,1.59756561430202
к,3.59180568385589
л,3.43422268108461
м,3.49942944085204
н,6.34135738738249
о,9.91686138129653
п,2.66260935717003
р,3.93957506928218
с,4.24387328153019
т,4.94484594903005
у,3.41248709449546
ф,0.0923762430038581
х,1.23349453893387
ц,0.624898114437863
ч,1.49975547465087
ш,0.880291256860295
щ,0.755311633972722
ь,1.47801988806173
ю,0.896592946802152
я,2.97234146606532
є,0.673803184263435
і,5.02092050209205
ї,0.624898114437863
