Char,Freq
аб,0.20217147135904154
ав,0.5166604268064395
аг,0.2770497940846125
ад,0.2695619618120554
аж,0.1272931486334706
аз,0.23212280044926994
ай,0.10482965181579933
ак,0.22463496817671283
ал,0.7263197304380382
ам,0.3669037813552976
ан,0.5915387495320105
ао,0.007487832272557094
ап,0.16473230999625607
ар,1.0183451890677648
ас,0.4193186072631973
ат,0.6664170722575814
ау,0.6289779108947959
аф,0.014975664545114188
ах,0.1422688131785848
ац,0.04492699363534257
ач,0.17222014226881316
аш,0.022463496817671284
ащ,0.029951329090228376
аю,0.17970797454137027
ая,0.014975664545114188
ає,0.8685885436166231
аї,0.022463496817671284
ба,0.2545862972669412
бе,0.18719580681392736
би,0.23212280044926994
бк,0.007487832272557094
бл,0.1198053163609135
бм,0.022463496817671284
бн,0.007487832272557094
бо,0.30700112317484085
бр,0.1422688131785848
бс,0.014975664545114188
бу,0.2695619618120554
бх,0.007487832272557094
бі,0.22463496817671283
бґ,0.007487832272557094
ва,0.6963684013478099
вб,0.05241482590789966
вв,0.022463496817671284
вг,0.029951329090228376
вд,0.05241482590789966
ве,0.3743916136278547
вж,0.04492699363534257
вз,0.022463496817671284
ви,0.6514414077124673
вк,0.06739049045301385
вл,0.1198053163609135
вм,0.007487832272557094
вн,0.24709846499438412
во,0.950954698614751
вп,0.05241482590789966
вр,0.06739049045301385
вс,0.17222014226881316
вт,0.04492699363534257
ву,0.22463496817671283
вф,0.007487832272557094
вч,0.239610632721827
вш,0.05990265818045675
вю,0.022463496817671284
вя,0.07487832272557095
ві,1.4526394608760764
га,0.5690752527143392
ге,0.04492699363534257
ги,0.09734181954324223
гл,0.06739049045301385
гн,0.11231748408835641
го,1.0557843504305504
гр,0.1272931486334706
гт,0.022463496817671284
гу,0.06739049045301385
гш,0.007487832272557094
гі,0.06739049045301385
да,0.4043429427180831
дб,0.014975664545114188
дв,0.08985398727068514
дд,0.022463496817671284
де,0.20965930363159865
дж,0.11231748408835641
дз,0.007487832272557094
ди,0.4417821040808686
